,accuracy,confidence,day,day_of_week,distance,hour,latitude,longitude,month,normalized_distance,EXITING_VEHICLE,year,city
4627,13,1,30,Thurs,0.005579579,14,45.7785503,4.8793519,Aug,0.005579579,EXITING_VEHICLE,2018,Lyon
6700,10,1,31,Fri,0.04970479,15,45.7617856,4.8580232,Aug,0.04970479,EXITING_VEHICLE,2018,Lyon
12826,899,1,4,Tues,0.164820059,22,45.7856556,4.8780099,Sep,0.164820059,EXITING_VEHICLE,2018,Lyon
13846,899,1,5,Wed,1.416563541,15,45.7653657,4.8031164,Sep,1.416563541,EXITING_VEHICLE,2018,Lyon
14315,800,1,5,Wed,1.809889257,16,45.7511456,4.8516632,Sep,1.809889257,EXITING_VEHICLE,2018,Lyon
14726,200,1,5,Wed,0.364795395,17,45.7779038,4.8787011,Sep,0.364795395,EXITING_VEHICLE,2018,Lyon
17908,899,1,7,Fri,0.357426279,17,45.7767057,4.7875948,Sep,0.357426279,EXITING_VEHICLE,2018,Lyon
18608,600,1,7,Fri,0.170554938,20,45.7737478,4.8786629,Sep,0.170554938,EXITING_VEHICLE,2018,Lyon
23186,56,1,11,Tues,0.093507775,13,45.7666471,4.8055425,Sep,0.093507775,EXITING_VEHICLE,2018,Lyon
25425,699,1,12,Wed,0.524212154,15,45.759719,4.8873428,Sep,0.524212154,EXITING_VEHICLE,2018,Lyon
28475,568,1,14,Fri,0,10,45.7773078,4.7735103,Sep,0,EXITING_VEHICLE,2018,Lyon
32465,114,1,17,Mon,0,18,45.7667789,4.8054868,Sep,0,EXITING_VEHICLE,2018,Lyon
38476,800,1,23,Sun,0.480687957,13,45.7698439,4.8025288,Sep,0.480687957,EXITING_VEHICLE,2018,Lyon
